Nombre,Nivel,Domicilio,Barrio,point_x,point_y
Esc. Primaria p/Adultos N° 02,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Cátulo Castillo 2750,PARQUE PATRICIOS,105550.229082000005292,99580.117812099982984
Centro Educativo de Nivel Secundario N° 72,Secundario de Jóvenes y Adultos,Cátulo Castillo 2750,PARQUE PATRICIOS,105550.229082000005292,99580.117812099982984
Centro Educativo de Nivel Secundario N° 33 Leopoldo Marechal,Secundario de Jóvenes y Adultos,Julián Alvarez 240 1° piso,VILLA CRESPO,102250.805869999996503,103097.766361000001780
Centro Educativo de Nivel Secundario N° 48,Secundario de Jóvenes y Adultos,Avda. Pueyrredón 860  2° piso,BALVANERA,105339.637239000003319,103265.126866000005975
Colegio N° 16 Guillermo Rawson,Secundario Común - Secundario de Jóvenes y Adultos,Avda. Triunvirato 4992,VILLA URQUIZA,97594.358160000003409,106337.452575000002980
Centro Educativo de Nivel Secundario N° 42,Secundario de Jóvenes y Adultos,Chile 1371,MONTSERRAT,107080.627751000021817,101456.537916999994195
Centro Educativo de Nivel Secundario N° 66 Veteranos de Guerra de Malvinas,Secundario de Jóvenes y Adultos,José Cubas 4182,VILLA DEVOTO,95146.187966500001494,103421.555133000001661
Centro Educativo de Nivel Secundario N° 32,Secundario de Jóvenes y Adultos,Avda. Don Pedro de Mendoza 1835,BOCA,109323.276650999992853,98964.959146600012900
CENOF Centro Museo Quinquela Martín,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Don Pedro de Mendoza 1835,BOCA,109323.276650999992853,98964.959146600012900
Centro Educativo de Nivel Secundario N° 15,Secundario de Jóvenes y Adultos,Avda. Belgrano 3767,ALMAGRO,103961.759195000006002,101556.576113000002806
Esc. Primaria p/Adultos N° 22 Martina Silva de Gurruchaga,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Boedo 657,ALMAGRO,104213.263902000006055,101030.174104999998235
Esc. Primaria p/Adultos N° 26 República de Colombia,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Juan de Garay 3972,BOEDO,103902.203708000000915,99741.186994799994864
Esc. Primaria p/Adultos N° 23 Gral. Belgrano,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Pringles 263,ALMAGRO,103231.296199999997043,102252.215479999998934
"Centro de Alfabetización, Educación Básica y Trabajo N° 14",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Rio Cuarto y Montesquieu - Avda. Gral. Iriarte alt. 3501,BARRACAS,106018.521863999994821,97466.801160300004994
Centro Educativo de Nivel Secundario N° 55,Secundario de Jóvenes y Adultos,Gral. Urquiza 609,BALVANERA,104877.289686000003712,101336.146181999996770
Centro Educativo de Nivel Primario N° 28,Primario de Jóvenes y Adultos,San Nicolás 588,FLORESTA,98328.120841800002381,100350.421201999997720
Centro Educativo de Nivel Secundario N° 06,Secundario de Jóvenes y Adultos,Saavedra 15 2° piso,BALVANERA,105435.731608000001870,102163.934559000001173
Centro Educativo de Nivel Secundario N° 31,Secundario de Jóvenes y Adultos,Saavedra 15 2° Piso,BALVANERA,105435.731608000001870,102163.934559000001173
Esc. Primaria p/Adultos N° 01 Tomasa de la Quintana de Escalada,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Corrientes 5332,VILLA CRESPO,102062.322725000005448,103427.264672000004794
"Centro de Alfabetización, Educación Básica y Trabajo N° 80",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Gral. Paz 15500 Los Robles s/n Mza. 3 Casa 40,VILLA LUGANO,97664.570823000001837,94024.634112799991271
CENOF Centro Cáritas Lugano,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Corvalán 3565,VILLA LUGANO,99409.733724299978348,95465.935162500012666
"Centro de Alfabetización, Educación Básica y Trabajo N° 51 Comedor Arca de Noé",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Villa 31 Calle 12 s/n Mza. 2 B° YPF,RETIRO,107140.263865000000806,105655.081814999983180
Centro Educativo Cursos Especiales - Torito Pulenta,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,José León Suárez 3787,VILLA LUGANO,97016.597703700012062,94797.590282499993918
"Centro de Alfabetización, Educación Básica y Trabajo N° 03",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Dr. José I. De La Rosa 6300,VILLA LUGANO,97421.409083999998984,95878.358484600001248
Esc. Primaria p/Adultos N° 02 Florencio Varela,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Caracas 10,FLORES,100115.816997000001720,100156.345874999999069
